cod_mun6;ano;mes;data_ref;pandemic;MP25;NO2;O3;n_estacoes;internacoes;obitos;custo_total;municipio;mes_nome;TEMP;UR;VV;n_estacoes_clima;populacao
350950;2017;1;01/01/2017;0;10;14;48;2;421;48;787095,14;Campinas;Janeiro;24,65;79;1,75;2;1.139.047
350950;2017;2;01/02/2017;0;13;14,5;54,5;2;396;32;533016,79;Campinas;Fevereiro;25,85;72,5;1,95;2;1.139.047
350950;2017;3;01/03/2017;0;13;15,5;43;2;479;37;656821,37;Campinas;Março;23,45;73,5;2,15;2;1.139.047
350950;2017;4;01/04/2017;0;16;17;41,5;2;531;28;667035,74;Campinas;Abril;23;71,5;2,25;2;1.139.047
350950;2017;5;01/05/2017;0;18;22,5;32,5;2;672;43;971739,49;Campinas;Maio;20,35;78,5;1,75;2;1.139.047
350950;2017;6;01/06/2017;0;16;23;29,5;2;629;43;695719,55;Campinas;Junho;18,7;76;1,65;2;1.139.047
350950;2017;7;01/07/2017;0;21;22,5;39;2;647;54;1190056,66;Campinas;Julho;18,35;64;1,55;2;1.139.047
350950;2017;8;01/08/2017;0;22;24,5;45,5;2;569;46;963099,1;Campinas;Agosto;19,55;63;2,2;2;1.139.047
350950;2017;9;01/09/2017;0;34;25;67;2;517;50;818332,23;Campinas;Setembro;23,55;70,5;2,05;2;1.139.047
350950;2017;10;01/10/2017;0;18;18,5;58;2;479;47;926331,51;Campinas;Outubro;23,55;68;2,25;2;1.139.047
350950;2017;11;01/11/2017;0;12;12,5;55;2;485;35;888407,08;Campinas;Novembro;23;69;2,5;2;1.139.047
350950;2017;12;01/12/2017;0;12;11,5;55,5;2;416;35;698637,77;Campinas;Dezembro;24,6;72,5;2,2;2;1.139.047
350950;2018;1;01/01/2018;0;11;11,5;51,5;2;382;27;744763,67;Campinas;Janeiro;24,1;78;2,05;2;1.139.047
350950;2018;2;01/02/2018;0;11;12,5;46;2;386;39;725124,69;Campinas;Fevereiro;23,95;69;2,25;2;1.139.047
350950;2018;3;01/03/2018;0;14;14,5;53;2;415;27;713066,52;Campinas;Março;25,55;69;1,85;2;1.139.047
350950;2018;4;01/04/2018;0;15;16,5;48,5;2;477;29;689535,64;Campinas;Abril;22,9;66;1,9;2;1.139.047
350950;2018;5;01/05/2018;0;20;20,5;44,5;2;614;29;895798,66;Campinas;Maio;20,5;63;1,8;2;1.139.047
