cod_mun6;ano;mes;data_ref;pandemic;MP25;NO2;O3;n_estacoes;internacoes;obitos;custo_total;municipio;mes_nome;TEMP;UR;VV;n_estacoes_clima;populacao
350950;2017;1;01/01/2017;0;10;14;48;2;421;48;1220154,863;Campinas;Janeiro;24,65;79;1,75;2;1139047
351880;2017;1;01/01/2017;0;11;21,5;44;2;299;43;760436,1012;Guarulhos;Janeiro;23;80,5;1,85;2;1291771
353870;2017;1;01/01/2017;0;7;9;43;1;96;10;238848,7347;Piracicaba;Janeiro;24,7;78;2;1;423323
354340;2017;1;01/01/2017;0;6;9,87506746;48,32702778;1;293;40;850189,1916;Ribeirao Preto;Janeiro;13,5;69;1,6;1;698642
354850;2017;1;01/01/2017;0;13;22;20,5;2;96;16;397961,4147;Santos;Janeiro;27,35;78,5;1,2;2;418608
354870;2017;1;01/01/2017;0;12;23;48;1;182;11;475110,7282;Sao Bernardo do Campo;Janeiro;22,7;81;1,8;1;810729
354990;2017;1;01/01/2017;0;9;16,5;36,5;2;230;32;420474,1938;Sao Jose dos Campos;Janeiro;23,9;80,33333333;1,266666667;3;697054
355030;2017;1;01/01/2017;0;11,125;33,125;39,125;10;3370;379;7138956,257;Sao Paulo;Janeiro;23,01666667;81,16666667;1,833333333;6;11451999
355410;2017;1;01/01/2017;0;8;15;40;1;52;7;257777,4514;Taubate;Janeiro;23,9;81;1,3;1;310739
350950;2017;2;01/02/2017;0;13;14,5;54,5;2;396;32;823154,2229;Campinas;Fevereiro;25,85;72,5;1,95;2;1139047
351880;2017;2;01/02/2017;0;17;21,5;50;2;344;37;557892,5438;Guarulhos;Fevereiro;24,2;71;1,85;2;1291771
353870;2017;2;01/02/2017;0;10;11;46;1;120;15;254302,9999;Piracicaba;Fevereiro;26,1;70;2,1;1;423323
354340;2017;2;01/02/2017;0;7;8;55,88051587;1;270;27;577869,9756;Ribeirao Preto;Fevereiro;20,7;57;1,8;1;698642
354850;2017;2;01/02/2017;0;18;22,5;24;2;92;8;253132,9223;Santos;Fevereiro;27,75;78;1,3;2;418608
354870;2017;2;01/02/2017;0;16;24;55;1;122;6;315548,764;Sao Bernardo do Campo;Fevereiro;24;74;1,8;1;810729
354990;2017;2;01/02/2017;0;10;13,5;42,5;2;203;16;424485,2688;Sao Jose dos Campos;Fevereiro;25,2;70;1,466666667;3;697054
355030;2017;2;01/02/2017;0;14,33333333;35,625;46,75;10;3101;315;5322813,27;Sao Paulo;Fevereiro;23,88333333;73,5;1,883333333;6;11451999
355410;2017;2;01/02/2017;0;10;11;48;1;55;4;207163,0757;Taubate;Fevereiro;25,5;69;1,6;1;310739
350950;2017;3;01/03/2017;0;13;15,5;43;2;479;37;1011013,038;Campinas;Março;23,45;73,5;2,15;2;1139047
351880;2017;3;01/03/2017;0;13,5;21,5;37;2;564;42;899477,5159;Guarulhos;Março;22,05;77,5;1,9;2;1291771
353870;2017;3;01/03/2017;0;8;12;39;1;127;12;335058,3222;Piracicaba;Março;24,5;73;2,2;1;423323
354340;2017;3;01/03/2017;0;8;9;76;1;308;29;578429,673;Ribeirao Preto;Março;26;66;1,8;1;698642
354850;2017;3;01/03/2017;0;12;21;16,5;2;151;19;514729,9967;Santos;Março;26,05;83;1,2;2;418608
354870;2017;3;01/03/2017;0;12;17;41;1;236;15;620743,9637;Sao Bernardo do Campo;Março;21,8;81;2;1;810729
354990;2017;3;01/03/2017;0;8;14;34;2;300;30;586499,9205;Sao Jose dos Campos;Março;23,16666667;74,66666667;1,466666667;3;697054
355030;2017;3;01/03/2017;0;11,22222222;31,875;33,75;10;5501;389;9276836,449;Sao Paulo;Março;21,78333333;79,16666667;2,55;6;11451999
355410;2017;3;01/03/2017;0;7;12;39;1;79;8;232649,3891;Taubate;Março;23,5;74;1,3;1;310739
350950;2017;4;01/04/2017;0;16;17;41,5;2;531;28;1024175,968;Campinas;Abril;23;71,5;2,25;2;1139047
351880;2017;4;01/04/2017;0;13;21;33,5;2;645;47;1050100,834;Guarulhos;Abril;20,15;79;1,85;2;1291771
353870;2017;4;01/04/2017;0;11;15;40;1;156;13;409883,6931;Piracicaba;Abril;23,7;72;2,1;1;423323
354340;2017;4;01/04/2017;0;9;11;34;1;294;27;736972,5391;Ribeirao Preto;Abril;24,9;67;1,7;1;698642
354850;2017;4;01/04/2017;0;12;23,5;16;2;183;13;389444,1246;Santos;Abril;23,5;81;1,1;2;418608
354870;2017;4;01/04/2017;0;12;20;38;1;205;11;532635,8606;Sao Bernardo do Campo;Abril;19,7;84;1,9;1;810729
354990;2017;4;01/04/2017;0;9;14,5;33;2;287;23;598609,5264;Sao Jose dos Campos;Abril;21,4;75;1,466666667;3;697054
355030;2017;4;01/04/2017;0;10,88888889;29,375;31,625;10;5233;316;7692102,727;Sao Paulo;Abril;19,95;80,66666667;2;6;11451999
355410;2017;4;01/04/2017;0;9;13;35;1;79;5;225930,1259;Taubate;Abril;21,7;75;1,4;1;310739
350950;2017;5;01/05/2017;0;18;22,5;32,5;2;672;43;1489936,553;Campinas;Maio;20,35;78,5;1,75;2;1139047
351880;2017;5;01/05/2017;0;17;28;27;2;613;41;853739,3059;Guarulhos;Maio;18,55;81,5;1,6;2;1291771
353870;2017;5;01/05/2017;0;12;18;30;1;168;11;365745,1785;Piracicaba;Maio;20,4;86;1,7;1;423323
354340;2017;5;01/05/2017;0;12;11;42,58640873;1;361;34;702675,0021;Ribeirao Preto;Maio;22,5;74;1,4;1;698642
354850;2017;5;01/05/2017;0;14;24,5;16,5;2;194;18;492426,405;Santos;Maio;22,4;83,5;1;2;418608
354870;2017;5;01/05/2017;0;16;28;31;1;297;17;775608,8866;Sao Bernardo do Campo;Maio;18,6;85;1,6;1;810729
354990;2017;5;01/05/2017;0;12;22;27,5;2;363;29;539375,7297;Sao Jose dos Campos;Maio;19,43333333;78;1,166666667;3;697054
355030;2017;5;01/05/2017;0;15,8;38,625;24,875;10;5581;405;9039914,743;Sao Paulo;Maio;18,65;81,83333333;1,65;6;11451999
355410;2017;5;01/05/2017;0;12;19;29;1;86;4;228655,1817;Taubate;Maio;19,8;78;1,2;1;310739
350950;2017;6;01/06/2017;0;16;23;29,5;2;629;43;1063427,128;Campinas;Junho;18,7;76;1,65;2;1139047
351880;2017;6;01/06/2017;0;20;32,5;24,5;2;535;45;943081,6045;Guarulhos;Junho;17,9;76,5;1,85;2;1291771
353870;2017;6;01/06/2017;0;14;20;26;1;195;20;469438,1738;Piracicaba;Junho;18,1;98;1,8;1;423323
354340;2017;6;01/06/2017;0;14;12;41,15334127;1;384;32;881919,1892;Ribeirao Preto;Junho;20,2;68;1,5;1;698642
354850;2017;6;01/06/2017;0;20;36;18;2;142;15;445471,2909;Santos;Junho;21,1;79,5;0,75;2;418608
354870;2017;6;01/06/2017;0;17;40;34;1;362;13;744089,4398;Sao Bernardo do Campo;Junho;17,5;80;1,6;1;810729
354990;2017;6;01/06/2017;0;14;25;21,5;2;403;27;596675,9547;Sao Jose dos Campos;Junho;17,9;76,66666667;1,066666667;3;697054
355030;2017;6;01/06/2017;0;18,6;44;23,25;10;5132;376;7845840,411;Sao Paulo;Junho;17,51666667;77,5;3,2;6;11451999
355410;2017;6;01/06/2017;0;16;22;27;1;89;15;515080,7977;Taubate;Junho;18,6;76;1,1;1;310739
