"id";"formula";"score";"error"
8;"cbind(obitos, internacoes - obitos) ~ municipio + s(t, bs = ""cr"",      k = 8) + s(mes, bs = ""cc"", k = 6) + s(MP25_z, bs = ""mpi"",      k = 5) + s(NO2_z, bs = ""mpi"", k = 5)";25,5475492867009;NA
2;"cbind(obitos, internacoes - obitos) ~ municipio + s(t, bs = ""cr"",      k = 8) + s(mes, bs = ""cc"", k = 6) + s(MP25_z, bs = ""mpi"",      k = 5)";25,5475959469688;NA
3;"cbind(obitos, internacoes - obitos) ~ municipio + s(t, bs = ""cr"",      k = 8) + s(mes, bs = ""cc"", k = 6) + s(NO2_z, bs = ""mpi"",      k = 5)";25,5476308009532;NA
26;"cbind(obitos, internacoes - obitos) ~ municipio + s(t, bs = ""cr"",      k = 8) + s(mes, bs = ""cc"", k = 6) + s(O3_z, bs = ""mpi"", k = 5) +      s(TEMP_z, bs = ""cr"", k = 5)";27,4501833364805;NA
11;"cbind(obitos, internacoes - obitos) ~ municipio + s(t, bs = ""cr"",      k = 8) + s(mes, bs = ""cc"", k = 6) + s(MP25_z, bs = ""mpi"",      k = 5) + s(O3_z, bs = ""mpi"", k = 5) + MP25_z:O3_z";27,5230705460747;NA
40;"cbind(obitos, internacoes - obitos) ~ municipio + s(t, bs = ""cr"",      k = 8) + s(mes, bs = ""cc"", k = 6) + s(MP25_z, bs = ""mpi"",      k = 5) + s(NO2_z, bs = ""mpi"", k = 5) + s(O3_z, bs = ""mpi"",      k = 5) + MP25_z:O3_z";27,5231896703166;NA
4;"cbind(obitos, internacoes - obitos) ~ municipio + s(t, bs = ""cr"",      k = 8) + s(mes, bs = ""cc"", k = 6) + s(O3_z, bs = ""mpi"", k = 5)";27,5237418138923;NA
14;"cbind(obitos, internacoes - obitos) ~ municipio + s(t, bs = ""cr"",      k = 8) + s(mes, bs = ""cc"", k = 6) + s(MP25_z, bs = ""mpi"",      k = 5) + s(UR_z, bs = ""cr"", k = 5)";27,5427639812949;NA
115;"cbind(obitos, internacoes - obitos) ~ municipio + s(t, bs = ""cr"",      k = 8) + s(mes, bs = ""cc"", k = 6) + s(NO2_z, bs = ""mpi"",      k = 5) + s(O3_z, bs = ""mpi"", k = 5) + s(UR_z, bs = ""cr"",      k = 5)";27,5428510220041;NA
22;"cbind(obitos, internacoes - obitos) ~ municipio + s(t, bs = ""cr"",      k = 8) + s(mes, bs = ""cc"", k = 6) + s(NO2_z, bs = ""mpi"",      k = 5) + s(UR_z, bs = ""cr"", k = 5)";27,542862475679;NA
