"id";"formula";"score";"error"
414;"obitos ~ municipio + s(t, bs = ""cr"", k = 8) + s(mes, bs = ""cc"",      k = 6) + offset(log(populacao)) + s(NO2_z, bs = ""mpi"", k = 5) +      s(O3_z, bs = ""mpi"", k = 5) + s(TEMP_z, bs = ""cr"", k = 5) +      s(UR_z, bs = ""cr"", k = 5) + NO2_z:UR_z + O3_z:TEMP_z";764,06679348608;NA
407;"obitos ~ municipio + s(t, bs = ""cr"", k = 8) + s(mes, bs = ""cc"",      k = 6) + offset(log(populacao)) + s(NO2_z, bs = ""mpi"", k = 5) +      s(O3_z, bs = ""mpi"", k = 5) + s(TEMP_z, bs = ""cr"", k = 5) +      s(UR_z, bs = ""cr"", k = 5) + NO2_z:O3_z + O3_z:TEMP_z";764,52139884842;NA
558;"obitos ~ municipio + s(t, bs = ""cr"", k = 8) + s(mes, bs = ""cc"",      k = 6) + offset(log(populacao)) + s(MP25_z, bs = ""mpi"", k = 5) +      s(NO2_z, bs = ""mpi"", k = 5) + s(O3_z, bs = ""mpi"", k = 5) +      s(TEMP_z, bs = ""cr"", k = 5) + s(UR_z, bs = ""cr"", k = 5) +      NO2_z:UR_z + O3_z:TEMP_z";765,362234422109;NA
405;"obitos ~ municipio + s(t, bs = ""cr"", k = 8) + s(mes, bs = ""cc"",      k = 6) + offset(log(populacao)) + s(NO2_z, bs = ""mpi"", k = 5) +      s(O3_z, bs = ""mpi"", k = 5) + s(TEMP_z, bs = ""cr"", k = 5) +      s(UR_z, bs = ""cr"", k = 5) + NO2_z:O3_z + NO2_z:TEMP_z";765,650829355896;NA
151;"obitos ~ municipio + s(t, bs = ""cr"", k = 8) + s(mes, bs = ""cc"",      k = 6) + offset(log(populacao)) + s(O3_z, bs = ""mpi"", k = 5) +      s(TEMP_z, bs = ""cr"", k = 5) + s(UR_z, bs = ""cr"", k = 5) +      O3_z:TEMP_z";765,739415971027;NA
817;"obitos ~ municipio + s(t, bs = ""cr"", k = 8) + s(mes, bs = ""cc"",      k = 6) + offset(log(populacao)) + s(NO2_z, bs = ""mpi"", k = 5) +      s(O3_z, bs = ""mpi"", k = 5) + s(TEMP_z, bs = ""cr"", k = 5) +      s(UR_z, bs = ""cr"", k = 5) + s(VV_z, bs = ""cr"", k = 5) + NO2_z:UR_z +      O3_z:TEMP_z";765,823233505081;NA
112;"obitos ~ municipio + s(t, bs = ""cr"", k = 8) + s(mes, bs = ""cc"",      k = 6) + offset(log(populacao)) + s(NO2_z, bs = ""mpi"", k = 5) +      s(O3_z, bs = ""mpi"", k = 5) + s(TEMP_z, bs = ""cr"", k = 5) +      NO2_z:O3_z + NO2_z:TEMP_z";766,489302849034;NA
551;"obitos ~ municipio + s(t, bs = ""cr"", k = 8) + s(mes, bs = ""cc"",      k = 6) + offset(log(populacao)) + s(MP25_z, bs = ""mpi"", k = 5) +      s(NO2_z, bs = ""mpi"", k = 5) + s(O3_z, bs = ""mpi"", k = 5) +      s(TEMP_z, bs = ""cr"", k = 5) + s(UR_z, bs = ""cr"", k = 5) +      NO2_z:O3_z + O3_z:TEMP_z";766,711421100014;NA
549;"obitos ~ municipio + s(t, bs = ""cr"", k = 8) + s(mes, bs = ""cc"",      k = 6) + offset(log(populacao)) + s(MP25_z, bs = ""mpi"", k = 5) +      s(NO2_z, bs = ""mpi"", k = 5) + s(O3_z, bs = ""mpi"", k = 5) +      s(TEMP_z, bs = ""cr"", k = 5) + s(UR_z, bs = ""cr"", k = 5) +      NO2_z:O3_z + NO2_z:TEMP_z";766,805930205262;NA
402;"obitos ~ municipio + s(t, bs = ""cr"", k = 8) + s(mes, bs = ""cc"",      k = 6) + offset(log(populacao)) + s(NO2_z, bs = ""mpi"", k = 5) +      s(O3_z, bs = ""mpi"", k = 5) + s(TEMP_z, bs = ""cr"", k = 5) +      s(UR_z, bs = ""cr"", k = 5) + O3_z:TEMP_z";766,830658407095;NA
