"Termo";"Estimate";"Exponencial_RR_OR";"Std. Error";"t value";"Pr(>|t|)"
"(Intercept)";5,24133118639875;188,92142472115;1,52372178727597;3,43982164602958;0,000693964665432246
"municipioGuarulhos";-0,702685093113571;0,495253714532506;0,106515428259781;-6,59702640822877;2,97739829697658e-10
"municipioPiracicaba";-0,344998875910626;0,708221149571221;0,0849323234282312;-4,06204448418456;6,72603282880151e-05
"municipioRibeirao Preto";-0,238639174179137;0,787699053258993;0,0966973815737531;-2,46789696158548;0,0143386557119171
"municipioSantos";-1,04037525249445;0,353322072090349;0,223977046905707;-4,64500834736178;5,79378556556176e-06
"municipioSao Bernardo do Campo";-0,32766323907194;0,72060565067638;0,121265733009444;-2,70202662318813;0,00741858860973534
"municipioSao Jose dos Campos";-0,578542138118617;0,560715216333861;0,100505342200061;-5,75633220537672;2,80573703554363e-08
"municipioSao Paulo";-0,407582446521909;0,665256601044016;0,106769194076816;-3,81741615684269;0,000174484917049699
"municipioTaubate";0,270620029553462;1,31077691925791;0,105986464816528;2,55334518442453;0,0113328333061795
"O3:TEMP";-0,00255696941425804;0,997446296847531;0,000978735748851456;-2,61252275423538;0,0095949989310558
"O3:UR";-0,000946913245885802;0,999053534934988;0,000259346250728914;-3,65115455968391;0,000324882294218984
