"Termo";"Estimate";"Exponencial_RR_OR";"Std. Error";"t value";"Pr(>|t|)"
"(Intercept)";-7,25088902769387;0,000709543304710589;0,101883129441555;-71,1686916905446;2,96439387504748e-323
"municipioGuarulhos";-0,297721474297558;0,742508118545119;0,0232178274760831;-12,8229686694091;5,72719985729957e-34
"municipioPiracicaba";-0,370590809741776;0,690326358594631;0,0304559000925498;-12,1681122086565;4,81939852823685e-31
"municipioRibeirao Preto";-0,0829771819554111;0,920372148073238;0,0254735239634713;-3,25738920435192;0,00117854453537232
"municipioSantos";-0,342917935351828;0,709696450160002;0,0403889798460835;-8,49038368036624;1,22368333853312e-16
"municipioSao Bernardo do Campo";-0,52010588269045;0,594457601867557;0,0276876595384938;-18,7847543403715;4,36818449274278e-64
"municipioSao Jose dos Campos";-0,202930431634018;0,816335030544393;0,0261780863908023;-7,75192000685417;3,18495659952782e-14
"municipioSao Paulo";-0,189029490995187;0,827762094806816;0,0182718709017577;-10,3453823645943;1,92150033061258e-23
"municipioTaubate";-0,444700739793904;0,641016077935143;0,0364642976850156;-12,1955108976813;3,6521386203991e-31
"MP25:VV";-0,00946467433680909;0,990579974719385;0,00248114574538499;-3,81463860170797;0,000148398272362599
"VV:O3";-0,002699277362636;0,997304362410848;0,000996847493376424;-2,70781376346072;0,00693770501204482
