"Termo";"Estimate";"Exponencial_RR_OR";"Std. Error";"t value";"Pr(>|t|)"
"(Intercept)";-6,055794079019;0,00234423986968671;0,641028429462803;-9,44699766918901;6,33976046172351e-18
"municipioGuarulhos";-0,232998012133937;0,792155148221084;0,0879899714139925;-2,64800645334549;0,00870037585077724
"municipioPiracicaba";-0,311818674440008;0,732114267222945;0,0814599522350956;-3,82787696143119;0,000169752285582644
"municipioRibeirao Preto";-0,385150163597707;0,680348464960386;0,0741081262984249;-5,19713805806871;4,71647736284916e-07
"municipioSantos";-0,838723341054576;0,432262022493851;0,183298404393231;-4,5757263617814;8,04115163489922e-06
"municipioSao Bernardo do Campo";-0,203745640728968;0,815669817983471;0,100125737045873;-2,03489778692586;0,0430955422362302
"municipioSao Jose dos Campos";-0,375649907047869;0,68684274976166;0,0777439424098443;-4,83188651621947;2,57903015101529e-06
"municipioSao Paulo";-0,0529422769300688;0,948434757468089;0,110014893232254;-0,481228271687739;0,63084646409274
"municipioTaubate";-0,265173852365158;0,767072581000481;0,096609204708414;-2,7448093912532;0,00656965153071511
"NO2:O3";-0,000339209549673478;0,999660847975381;0,000138990001857805;-2,44053201769513;0,0154796599914052
"TEMP:VV";-0,0421705651800121;0,95870624472291;0,0167499166148596;-2,51765821583857;0,0125469658667719
